# wall,#channel (right PMT),channel (left PMT),layer,sub-module,DAC chain,TDC
0,8,0,0,0,0,0
0,9,1,0,1,0,0
0,10,2,0,2,0,0
0,11,3,0,3,0,0
0,12,4,0,4,0,0
0,13,5,0,5,0,0
0,14,6,0,6,0,0
0,15,7,0,7,0,0
,,,,,,
0,8,0,0,8,1,0
0,9,1,0,9,1,0
0,10,2,0,10,1,0
0,11,3,0,11,1,0
0,12,4,0,12,1,0
0,13,5,0,13,1,0
0,14,6,0,14,1,0
0,15,7,0,15,1,0
,,,,,,
0,8,0,0,16,2,0
0,9,1,0,17,2,0
0,10,2,0,18,2,0
0,11,3,0,19,2,0
0,12,4,0,20,2,0
0,13,5,0,21,2,0
0,14,6,0,22,2,0
0,15,7,0,23,2,0
,,,,,,
0,8,0,1,0,0,1
0,9,1,1,1,0,1
0,10,2,1,2,0,1
0,11,3,1,3,0,1
0,12,4,1,4,0,1
0,13,5,1,5,0,1
0,14,6,1,6,0,1
0,15,7,1,7,0,1
,,,,,,
0,8,0,1,8,1,1
0,9,1,1,9,1,1
0,10,2,1,10,1,1
0,11,3,1,11,1,1
0,12,4,1,12,1,1
0,13,5,1,13,1,1
0,14,6,1,14,1,1
0,15,7,1,15,1,1
,,,,,,
0,8,0,1,16,2,1
0,9,1,1,17,2,1
0,10,2,1,18,2,1
0,11,3,1,19,2,1
0,12,4,1,20,2,1
0,13,5,1,21,2,1
0,14,6,1,22,2,1
0,15,7,1,23,2,1
,,,,,,
0,8,0,2,0,0,2
0,9,1,2,1,0,2
0,10,2,2,2,0,2
0,11,3,2,3,0,2
0,12,4,2,4,0,2
0,13,5,2,5,0,2
0,14,6,2,6,0,2
0,15,7,2,7,0,2
,,,,,,
0,8,0,2,8,1,2
0,9,1,2,9,1,2
0,10,2,2,10,1,2
0,11,3,2,11,1,2
0,12,4,2,12,1,2
0,13,5,2,13,1,2
0,14,6,2,14,1,2
0,15,7,2,15,1,2
,,,,,,
0,8,0,2,16,2,2
0,9,1,2,17,2,2
0,10,2,2,18,2,2
0,11,3,2,19,2,2
0,12,4,2,20,2,2
0,13,5,2,21,2,2
0,14,6,2,22,2,2
0,15,7,2,23,2,2